Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
07/06/2017,52.97,52.84,53.17,52.47,3.67M,-0.23%,0.029343179
08/06/2017,53.43,52.89,53.96,52.86,4.65M,0.87%,0.020825373
09/06/2017,54.71,53.55,54.97,53.46,9.65M,2.40%,0.041896782
12/06/2017,54.47,54.9,55.2,53.85,6.22M,-0.44%,0.034175052
13/06/2017,55.03,54.48,55.05,54.34,3.30M,1.03%,0.03849783
14/06/2017,53.35,54.87,54.9,53.29,5.52M,-3.05%,0.016577744
15/06/2017,52.99,53.1,53.33,52.76,4.00M,-0.67%,0.018059558
16/06/2017,53.77,53.31,53.77,53.01,6.78M,1.47%,0.035232961
19/06/2017,54.29,53.81,54.37,53.81,3.75M,0.97%,0.028609322
20/06/2017,52.85,53.66,53.81,52.47,4.84M,-2.65%,-0.002453756
21/06/2017,51.73,52.93,52.99,51.18,5.73M,-2.12%,-0.025433308
22/06/2017,51.17,52.12,52.12,51.09,4.94M,-1.08%,-0.036890646
23/06/2017,51.5,51.19,51.65,50.74,6.05M,0.64%,-0.018112488
26/06/2017,51.33,51.64,52.06,51.25,4.83M,-0.33%,-0.028209012
27/06/2017,51.85,51.4,52.35,51.08,3.78M,1.01%,-0.010873712
28/06/2017,52.62,52.12,52.86,51.85,3.17M,1.49%,0.011145273
29/06/2017,51.81,52.89,53.02,51.72,4.58M,-1.54%,-0.02484472
30/06/2017,52.33,52.14,52.61,51.7,2.92M,1.00%,-0.007020873
03/07/2017,53.1,52.63,53.37,52.62,1.74M,1.47%,0.005681818
