Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
27/10/2022,126.64,127.7,129.45,126.24,8.95M,0.06%,0.221686282
28/10/2022,127.17,128.5,128.99,124.01,7.29M,0.42%,0.24262263
31/10/2022,126.09,125.58,129.99,125.57,7.12M,-0.85%,0.146585432
01/11/2022,127.78,128.74,129.32,126.89,5.88M,1.34%,0.105172116
02/11/2022,126.51,127.08,129.8,125.79,7.68M,-0.99%,0.091261968
03/11/2022,133.82,129.62,136.12,128.29,13.21M,5.78%,0.137441564
04/11/2022,132.32,137,138.49,129.65,10.66M,-1.12%,0.116530251
07/11/2022,134.94,132.75,136.42,132.61,6.88M,1.98%,0.155308219
08/11/2022,134.44,134.3,135.28,132.23,5.04M,-0.37%,0.16317702
09/11/2022,125.26,132.46,132.57,124.89,7.07M,-6.83%,0.077042132
10/11/2022,129.46,128.1,129.77,125.57,7.54M,3.35%,0.054749878
11/11/2022,133.96,131.2,134.85,130.56,8.66M,3.48%,0.1356392
14/11/2022,133.03,132.38,135.68,132.28,6.16M,-0.69%,0.1239439
15/11/2022,134.09,133.59,134.84,131.91,8.30M,0.80%,0.137416235
16/11/2022,129.24,132.58,133.5,129.09,7.37M,-3.62%,0.067129056
17/11/2022,131.19,127.59,131.37,127.03,5.74M,1.51%,0.077005172
18/11/2022,128.59,128.41,129.2,126.5,5.73M,-1.98%,0.032934372
21/11/2022,125.49,125.04,127.11,121.81,6.57M,-2.41%,0.002796868
22/11/2022,129.98,128,130.55,126.46,5.60M,3.58%,0.048733258
23/11/2022,126.74,127.59,129.22,125.8,7.48M,-2.49%,0.00134313
25/11/2022,126.81,126.89,127.77,126.5,2.55M,0.06%,0.001342388
28/11/2022,123.84,122.7,125.06,121.24,5.65M,-2.34%,-0.026185421
29/11/2022,124.25,125.82,126.83,123.92,4.91M,0.33%,-0.014592751
30/11/2022,123.51,126.65,126.68,122.44,8.48M,-0.60%,-0.03341681
01/12/2022,123.06,124.67,125.37,122.89,5.29M,-0.36%,-0.027270571
02/12/2022,122.18,122.12,123.87,121.34,4.88M,-0.72%,-0.086982514
05/12/2022,119.37,124.26,124.69,118.71,5.48M,-2.30%,-0.097868803
06/12/2022,115.61,118.44,119.74,114.54,6.50M,-3.15%,-0.143248851
07/12/2022,114.88,116.29,117.6,114.09,6.10M,-0.63%,-0.145492413
08/12/2022,112.6,117.79,117.89,111.88,7.72M,-1.98%,-0.101069775
09/12/2022,110.02,112.41,113.94,109.73,6.39M,-2.29%,-0.150162212
12/12/2022,111.78,110.9,112.3,110.07,5.64M,1.60%,-0.165571812
13/12/2022,113.41,114.45,115.59,113.37,6.29M,1.46%,-0.14748553
14/12/2022,112.87,114.75,115.65,112.04,5.93M,-0.48%,-0.15825192
15/12/2022,112.55,111.64,112.92,110.47,6.40M,-0.28%,-0.129139585
16/12/2022,110.44,110.45,111.22,109.01,17.42M,-1.87%,-0.158167543
19/12/2022,110.44,112.16,112.76,109.64,4.99M,0.00%,-0.141146279
20/12/2022,112.65,110.45,113.81,110,5.54M,2.00%,-0.10231891
21/12/2022,116.28,114.94,116.67,113.55,5.43M,3.22%,-0.105400831
22/12/2022,112.9,116.05,116.78,109.84,5.30M,-2.91%,-0.109199937
23/12/2022,117.05,113.65,117.1,113.65,5.00M,3.68%,-0.076965539
27/12/2022,118.47,117.92,119.06,117.06,3.85M,1.21%,-0.043362403
28/12/2022,115.31,118.21,118.27,114.74,3.86M,-2.67%,-0.07195171
29/12/2022,116.39,114.73,117,114.62,2.92M,0.94%,-0.057647154
30/12/2022,118,116.07,118.21,116.01,4.22M,1.38%,-0.041118154
03/01/2023,113.12,116.56,117.98,111.92,5.42M,-4.14%,-0.074152889
04/01/2023,113.34,111.22,114.31,110.46,4.84M,0.19%,-0.050515205
05/01/2023,116.77,113.53,117.79,113.53,5.18M,3.03%,0.010033734
06/01/2023,118.23,118.5,120.19,117.54,4.44M,1.25%,0.029160864
09/01/2023,117.36,120.32,120.66,116.86,5.40M,-0.74%,0.042273535
10/01/2023,118.08,118.23,118.61,116.68,4.04M,0.61%,0.073259407
11/01/2023,118.24,119.19,119.55,116.91,4.57M,0.14%,0.057792092
12/01/2023,120.16,118.39,121.1,117.85,5.07M,1.62%,0.059518561
13/01/2023,121.47,120.58,121.85,118.51,4.36M,1.09%,0.076193851
17/01/2023,120.24,121.06,122.54,119.56,5.23M,-1.01%,0.068325189
18/01/2023,118.55,121.2,123.71,118.36,5.14M,-1.41%,0.073433539
19/01/2023,119.64,117.55,120.26,116.26,5.05M,0.92%,0.083303151
20/01/2023,121.8,120.16,121.91,119.25,5.10M,1.81%,0.081225033
23/01/2023,120.13,122.46,123.17,119.97,3.96M,-1.37%,0.033109735
24/01/2023,118.81,121,121,117.64,4.22M,-1.10%,0.05234721
25/01/2023,120.37,118.2,120.38,116.64,3.98M,1.31%,0.028363947
26/01/2023,124.65,122.29,124.73,120.8,5.81M,3.56%,0.052165105
27/01/2023,123.61,124.69,126.39,123.52,4.86M,-0.83%,0.07197988
30/01/2023,120.53,122.09,122.6,120.33,5.25M,-2.49%,0.035570066
31/01/2023,121.87,120.22,122.09,119.1,5.20M,1.11%,0.03279661
01/02/2023,117.7,120.71,120.97,115.2,7.28M,-3.42%,0.040487977
02/02/2023,111.3,113.49,115.39,109.76,11.53M,-5.44%,-0.017998941
03/02/2023,108.11,111.31,112.39,107.76,13.50M,-2.87%,-0.074162884
06/02/2023,107.49,108.57,109.95,106.72,11.52M,-0.57%,-0.090839888
07/02/2023,112.02,108.41,112.15,107.41,7.37M,4.21%,-0.045501022
08/02/2023,110.79,112.23,113,109.84,6.71M,-1.10%,-0.061737805
09/02/2023,109.93,110.61,111.74,109.85,5.77M,-0.78%,-0.070280785
10/02/2023,115.06,111.98,115.37,111.83,10.78M,4.67%,-0.042443409
13/02/2023,112.31,113.95,114.1,112.12,6.02M,-2.39%,-0.075409566
14/02/2023,113.55,111,114.45,110.55,7.31M,1.10%,-0.055638723
15/02/2023,111.65,111.82,112.17,109.98,7.21M,-1.67%,-0.05820329
16/02/2023,108.36,110.88,111.71,108.08,6.53M,-2.95%,-0.094282849
17/02/2023,104.12,106.14,106.67,103.17,11.29M,-3.91%,-0.145155993
