Date,Price,Open,High,Low,Vol,Change_Short,Change_Long
28/12/2018,108.65,109.65,110.36,108.12,6.45M,-0.61%,-0.080328424
31/12/2018,108.79,109.15,110.24,107.86,6.31M,0.13%,-0.08464451
02/01/2019,110.69,107.34,111.68,107.1,6.38M,1.75%,-0.069362704
03/01/2019,108.57,111.06,111.29,108.07,6.50M,-1.92%,-0.100273473
04/01/2019,110.82,110.28,110.99,109.47,7.95M,2.07%,-0.054759468
07/01/2019,112.26,111.06,112.93,109.92,5.71M,1.30%,-0.031489949
08/01/2019,111.77,113.4,113.79,111.67,5.67M,-0.44%,-0.032210581
09/01/2019,113.27,112.69,114,112.45,7.10M,1.34%,-0.01452932
10/01/2019,113.45,112.51,113.63,111.71,6.08M,0.16%,-0.017493721
11/01/2019,112.54,113,113.05,111.67,4.49M,-0.80%,-0.02663899
14/01/2019,111.72,111.34,112.34,111.08,6.12M,-0.73%,-0.036398137
15/01/2019,112.12,111.98,113.07,111.51,4.23M,0.36%,-0.015022402
16/01/2019,111.4,111.43,112.32,111.22,5.62M,-0.64%,-0.009337483
17/01/2019,111.96,110.75,112.29,110.17,4.44M,0.50%,0.020229634
18/01/2019,114.37,113.99,114.65,113.06,9.38M,2.15%,0.060651025
22/01/2019,112.34,113.12,113.45,111.95,7.24M,-1.77%,0.070108592
23/01/2019,111.39,112.38,112.67,110.42,6.08M,-0.85%,0.068899338
24/01/2019,113.51,111.03,113.82,110.91,8.47M,1.90%,0.123972671
25/01/2019,113.22,114.06,114.78,112.99,6.26M,-0.26%,0.054288109
28/01/2019,112.17,111.91,112.57,111.07,6.89M,-0.93%,0.026070252
29/01/2019,111.83,113.03,113.35,111.77,5.36M,-0.30%,0.029268293
30/01/2019,113.01,112.53,113.65,111.98,7.94M,1.06%,0.03879033
31/01/2019,114.65,113.8,115.41,113.38,11.23M,1.45%,0.035775589
01/02/2019,118.37,116.65,119.25,116.6,10.93M,3.24%,0.090264346
04/02/2019,119.74,117.5,119.75,116.31,7.99M,1.16%,0.080490886
05/02/2019,119.48,119.62,119.86,118.69,6.89M,-0.22%,0.064314983
06/02/2019,118.88,119,119.59,118.69,4.99M,-0.50%,0.063612776
07/02/2019,118.23,118.01,118.51,116.51,7.28M,-0.55%,0.043789176
08/02/2019,117.58,117.74,117.89,115.92,5.67M,-0.55%,0.036403702
11/02/2019,116.95,116.93,117.36,116.39,4.86M,-0.54%,0.039186067
12/02/2019,118.72,118.33,118.87,117.61,5.40M,1.51%,0.062656642
13/02/2019,119.57,119.16,120.39,118.7,5.94M,0.72%,0.066446664
14/02/2019,118.16,118.37,119.53,117.66,5.41M,-1.18%,0.060682226
15/02/2019,119.35,119.62,119.86,118.59,6.21M,1.01%,0.066005716
19/02/2019,119.31,118.9,119.86,118.46,4.28M,-0.03%,0.043193145
20/02/2019,120.28,119.31,120.72,119,5.94M,0.81%,0.070678298
21/02/2019,119.14,120.07,120.32,118.39,5.14M,-0.95%,0.069575366
22/02/2019,119.39,120.28,120.46,118.85,4.52M,0.21%,0.051801603
25/02/2019,119.62,119.41,120.42,119.37,5.20M,0.19%,0.056527115
26/02/2019,119.94,119.81,120.97,119.68,5.45M,0.27%,0.069269858
27/02/2019,120.08,120.29,121.29,119.89,5.29M,0.12%,0.073772691
28/02/2019,119.58,120,120.16,118.49,6.41M,-0.42%,0.058136448
01/03/2019,122.03,120.39,122.04,120.17,7.74M,2.05%,0.064369821
04/03/2019,122.12,122.67,122.84,120.55,7.50M,0.07%,0.031680324
05/03/2019,123.29,121.87,123.35,121.59,7.35M,0.96%,0.02964757
06/03/2019,123.53,123.17,124.7,122.3,7.60M,0.19%,0.033896887
07/03/2019,121.94,123.42,123.5,121.7,7.20M,-1.29%,0.025740242
08/03/2019,121.62,120.1,121.93,119.2,7.01M,-0.26%,0.028672926
11/03/2019,123.62,122.87,124.2,122.75,6.09M,1.64%,0.05136928
12/03/2019,123.9,123.84,124.96,123.38,6.18M,0.23%,0.059427106
13/03/2019,124.67,124.6,124.93,123.9,4.71M,0.62%,0.050117925
14/03/2019,124.6,124.76,125.46,124.48,5.15M,-0.06%,0.042067408
15/03/2019,125.31,124.59,125.42,124.35,10.45M,0.57%,0.060511171
18/03/2019,125.88,125.21,126.13,125.17,5.59M,0.45%,0.054713029
19/03/2019,125.28,126.56,126.92,124.74,5.10M,-0.48%,0.050037717
20/03/2019,124.69,125.04,126.34,124.68,6.71M,-0.47%,0.03666445
21/03/2019,125.86,124.87,125.96,124.51,5.05M,0.94%,0.05640423
22/03/2019,123.09,124.85,124.9,122.7,5.79M,-2.20%,0.03099087
25/03/2019,122.89,122.93,123.35,122.31,3.84M,-0.16%,0.027336566
26/03/2019,124.13,123.77,124.91,123.38,4.08M,1.01%,0.034934134
27/03/2019,122.79,123.98,124.48,122.02,3.73M,-1.08%,0.022568288
28/03/2019,123.02,122.6,123.16,122.36,4.06M,0.19%,0.028767352
29/03/2019,123.18,124.28,124.47,122.49,5.32M,0.13%,0.009423912
01/04/2019,124.94,123.87,125.27,123.45,5.51M,1.43%,0.023092041
02/04/2019,124.93,125.2,125.44,124.11,4.36M,-0.01%,0.013301971
03/04/2019,123.89,125.22,125.35,123.54,3.60M,-0.83%,0.002914272
04/04/2019,124.8,124.01,124.83,123.55,3.72M,0.73%,0.023454158
05/04/2019,126.42,125.25,126.64,125.2,5.55M,1.30%,0.039467193
08/04/2019,126.68,126.77,127.34,126.23,5.48M,0.21%,0.024753276
09/04/2019,125.54,126.29,126.29,125.12,4.14M,-0.90%,0.013236481
10/04/2019,125.49,126.14,126.56,125.13,3.97M,-0.04%,0.006577364
11/04/2019,125.99,125.34,126.25,124.75,3.25M,0.40%,0.011155698
12/04/2019,119.76,121.58,122,119,42.69M,-4.94%,-0.04429016
15/04/2019,120.14,120.02,121.02,119.33,13.37M,0.32%,-0.045598983
16/04/2019,121.17,120.43,121.32,120.06,11.94M,0.86%,-0.032806513
17/04/2019,120.27,122.2,122.54,120.05,11.90M,-0.74%,-0.035447911
18/04/2019,119.86,120.52,120.82,119.1,9.55M,-0.34%,-0.047672017
22/04/2019,121.9,120.78,122.01,120.45,7.95M,1.70%,-0.009667723
23/04/2019,122.02,121.73,122.28,121.35,9.08M,0.10%,-0.007079502
24/04/2019,118.28,121.35,121.43,118.09,22.11M,-3.07%,-0.047128011
25/04/2019,117.9,118.05,118.7,117.4,10.64M,-0.32%,-0.03982409
26/04/2019,117.1,118.4,118.5,115.65,11.63M,-0.68%,-0.048122257
29/04/2019,117.72,117.01,118.11,116.7,9.40M,0.53%,-0.044325377
30/04/2019,120.06,121.1,121.92,119.65,21.43M,1.99%,-0.039058748
01/05/2019,117.81,119.8,120.14,117.76,10.10M,-1.87%,-0.056991915
02/05/2019,116.38,117.28,118.47,116.28,9.50M,-1.21%,-0.06061829
03/05/2019,117.27,117.69,118.55,117.11,7.37M,0.76%,-0.060336538
06/05/2019,118.4,117.5,119.84,117.47,11.03M,0.96%,-0.063439329
07/05/2019,118.27,117.3,118.27,116.5,9.17M,-0.11%,-0.066387749
08/05/2019,117.5,118.37,118.48,117.4,6.23M,-0.65%,-0.064043333
09/05/2019,121.19,121.12,122.32,119.86,16.50M,3.14%,-0.034265679
10/05/2019,121.99,121.17,122.27,119.83,8.79M,0.66%,-0.031748551
13/05/2019,120.44,121.91,122.26,120.01,7.70M,-1.27%,0.005678023
14/05/2019,121.64,120.67,122.25,120.51,6.86M,1.00%,0.012485434
15/05/2019,122.14,121.2,122.49,120.87,6.94M,0.41%,0.008005282
16/05/2019,120.8,120.99,121.55,120.53,8.54M,-1.10%,0.004406751
17/05/2019,120.52,120.06,121.11,119.88,6.87M,-0.23%,0.005506424
20/05/2019,120.84,120.71,121.21,120.54,4.57M,0.27%,-0.008695652
21/05/2019,121.34,121.03,121.94,120.9,4.86M,0.41%,-0.005572857
22/05/2019,120.57,120.9,121.44,120.34,5.76M,-0.63%,0.019360839
23/05/2019,117.87,118.81,118.87,116.86,11.00M,-2.24%,-0.000254453
24/05/2019,118.71,118.3,118.93,117.38,4.89M,0.71%,0.013748933
28/05/2019,118.31,118.88,119.32,118.17,8.15M,-0.34%,0.005011893
29/05/2019,116.77,117.04,117.36,115.82,7.45M,-1.30%,-0.027402965
30/05/2019,115.38,116.54,116.74,114.85,5.81M,-1.19%,-0.020626432
31/05/2019,113.85,114.22,115.2,113.72,6.90M,-1.33%,-0.02173913
03/06/2019,115.99,114.7,116.1,114.47,6.10M,1.88%,-0.010914983
04/06/2019,117.3,116.6,117.68,116.29,5.24M,1.13%,-0.009290541
05/06/2019,117.65,117.87,118.03,116.27,5.11M,0.30%,-0.005242242
06/06/2019,120.68,118.21,121.16,118.11,7.37M,2.58%,0.02706383
07/06/2019,121.48,120.74,122.12,120.53,5.34M,0.66%,0.002392937
10/06/2019,122.29,122.2,122.75,121.71,5.71M,0.67%,0.002459218
11/06/2019,121.17,123.37,123.5,121.15,5.63M,-0.92%,0.006061109
12/06/2019,120.19,120.38,120.58,119.56,4.00M,-0.81%,-0.011920421
13/06/2019,120.91,121.24,121.89,120.46,3.99M,0.60%,-0.010070411
14/06/2019,120.81,121,121.16,120.37,3.37M,-0.08%,8.27815E-05
17/06/2019,121.39,120.72,121.84,120.38,4.22M,0.48%,0.007218719
18/06/2019,122.93,121.95,123.87,121.86,4.88M,1.27%,0.017295597
19/06/2019,122.89,122.51,123.48,122.22,3.85M,-0.03%,0.012774023
20/06/2019,124.28,124.31,124.7,123.6,7.77M,1.13%,0.030770507
21/06/2019,124.93,124.8,126.2,124.23,14.29M,0.52%,0.059896496
24/06/2019,124.91,124.54,125.38,124.42,5.54M,-0.02%,0.052228119
25/06/2019,123.64,124.84,125.11,123.49,4.71M,-1.02%,0.045051137
26/06/2019,123.93,124.57,124.88,123.88,5.05M,0.23%,0.061317119
27/06/2019,123.11,123.92,124.2,122.89,3.55M,-0.66%,0.066996013
28/06/2019,124.44,123.41,124.48,123.12,7.05M,1.08%,0.093017128
01/07/2019,124.84,125.36,125.84,124.36,5.53M,0.32%,0.076299681
02/07/2019,122.93,124.55,124.72,122.39,5.75M,-1.53%,0.04799659
03/07/2019,123.35,122.93,123.37,122.33,2.73M,0.34%,0.048448789
05/07/2019,123.54,123.14,123.74,122.64,3.46M,0.15%,0.023699039
08/07/2019,123.6,123.66,124.09,123.42,3.51M,0.05%,0.017451432
09/07/2019,123.35,123.9,124.14,123.07,3.96M,-0.20%,0.008667921
10/07/2019,125.44,124.11,125.62,124.11,4.74M,1.69%,0.035239746
11/07/2019,125.43,125.68,125.68,124.6,3.55M,-0.01%,0.043597637
12/07/2019,125.98,125.38,126.25,125.13,3.97M,0.44%,0.041932016
15/07/2019,125.72,126.06,126.4,125.27,3.74M,-0.21%,0.040642331
16/07/2019,124.76,125.5,125.78,124.26,4.70M,-0.76%,0.02776176
17/07/2019,124.14,124.66,125.28,124.06,3.87M,-0.50%,0.009843
18/07/2019,124.68,124.12,125.05,123.36,5.77M,0.43%,0.014565872
19/07/2019,125.04,124.68,125.41,124.59,4.88M,0.29%,0.006115224
22/07/2019,125.31,125.37,125.75,124.47,3.28M,0.22%,0.003041703
23/07/2019,125.82,125.24,126.22,124.78,4.30M,0.41%,0.007285245
24/07/2019,126.54,125.87,126.94,125.66,4.80M,0.57%,0.023455192
25/07/2019,125.63,127,127,125.33,4.59M,-0.72%,0.013717421
26/07/2019,123.72,125.24,125.25,123.3,6.97M,-1.52%,0.004954918
29/07/2019,124.23,123.48,124.64,123.38,4.38M,0.41%,-0.00168756
30/07/2019,124.34,124.1,124.75,123.38,3.87M,0.09%,-0.004005127
31/07/2019,123.11,123.71,124.69,122.48,7.20M,-0.99%,0.001464248
01/08/2019,120.74,122,123.75,120.31,7.93M,-1.93%,-0.021159303
02/08/2019,120.73,121.78,122.54,117.83,9.03M,-0.01%,-0.022745669
05/08/2019,118.74,119.19,120.55,117.45,8.62M,-1.65%,-0.039320388
06/08/2019,119.38,118.72,119.53,117.65,6.79M,0.54%,-0.03218484
07/08/2019,119.1,117.55,119.8,116.95,6.85M,-0.23%,-0.050542092
08/08/2019,123.23,119.49,123.33,119.42,8.87M,3.47%,-0.017539664
09/08/2019,122.42,123.11,123.89,121.89,5.05M,-0.66%,-0.028258454
12/08/2019,121.55,123.01,123.14,120.91,3.94M,-0.71%,-0.033168947
13/08/2019,122.39,121.01,122.7,120.3,5.86M,0.69%,-0.018996473
14/08/2019,117.74,120.02,120.59,117.68,7.18M,-3.80%,-0.051554696
15/08/2019,116.95,117.24,117.84,115.46,6.27M,-0.67%,-0.061998717
16/08/2019,115.81,116.4,116.65,115.36,6.24M,-0.97%,-0.073816379
19/08/2019,117.31,117.13,117.82,116.96,6.44M,1.30%,-0.063841673
20/08/2019,116.13,117.13,117.19,115.66,5.15M,-1.01%,-0.077014783
21/08/2019,117.88,117.79,118.22,117.33,4.58M,1.51%,-0.068436858
22/08/2019,117.73,118.66,118.74,117.45,4.36M,-0.13%,-0.062883069
23/08/2019,115.18,116.48,118.06,114.35,7.65M,-2.17%,-0.069026835
26/08/2019,115.74,115.92,116.22,115.19,3.97M,0.49%,-0.06834098
27/08/2019,115.83,116.27,117.03,115.04,4.24M,0.08%,-0.06844137
28/08/2019,116.83,116.41,117.19,115.88,4.16M,0.86%,-0.051011291
29/08/2019,117.52,117.19,117.84,116.58,4.47M,0.59%,-0.026668875
30/08/2019,117.72,117.98,118.98,117.23,4.88M,0.17%,-0.024931666
03/09/2019,116.27,115.77,116.33,114.55,5.67M,-1.23%,-0.020801752
04/09/2019,117.25,117.48,118.54,117.17,4.61M,0.84%,-0.017842185
05/09/2019,117.64,118.01,119.07,117.26,5.39M,0.33%,-0.012258606
06/09/2019,118.26,117.5,118.44,117.39,4.58M,0.53%,-0.040331088
09/09/2019,119.39,118.74,119.63,118.58,5.05M,0.96%,-0.024750858
10/09/2019,121.85,120.23,123.29,119.91,8.73M,2.06%,0.00246812
11/09/2019,121.28,122.21,122.98,120.37,5.51M,-0.47%,-0.009069368
